IPR000183, 1, None
IPR002433, 2, IPR000183
IPR031173, 3, IPR002433
IPR031178, 3, IPR002433
IPR002985, 2, IPR000183
IPR002986, 2, IPR000183
IPR017530, 2, IPR000183
IPR000185, 1, None
IPR022490, 2, IPR000185
IPR026389, 2, IPR000185
IPR030908, 2, IPR000185
IPR000206, 1, None
IPR000209, 1, None
IPR030400, 2, IPR000209
IPR000212, 1, None
IPR004586, 2, IPR000212
IPR005751, 2, IPR000212
IPR005752, 2, IPR000212
IPR005753, 2, IPR000212
IPR014151, 2, IPR000212
IPR014152, 2, IPR000212
IPR000215, 1, None
IPR000227, 2, IPR000215
IPR000240, 2, IPR000215
IPR015555, 2, IPR000215
IPR015556, 2, IPR000215
IPR015557, 2, IPR000215
IPR031172, 2, IPR000215
IPR000217, 1, None
IPR002452, 2, IPR000217
IPR002453, 2, IPR000217
IPR002454, 2, IPR000217
IPR002967, 2, IPR000217
IPR004057, 2, IPR000217
IPR004058, 2, IPR000217
IPR000218, 1, None
IPR005745, 2, IPR000218
IPR019971, 2, IPR000218
IPR000223, 1, None
IPR026730, 2, IPR000223
IPR000226, 1, None
IPR001181, 2, IPR000226
IPR020447, 2, IPR000226
IPR000228, 1, None
IPR016443, 2, IPR000228
IPR017770, 2, IPR000228
IPR000235, 1, None
IPR005716, 2, IPR000235
IPR026018, 3, IPR005716
IPR005717, 2, IPR000235
IPR000239, 1, None
IPR032965, 2, IPR000239
IPR000244, 1, None
IPR020594, 2, IPR000244
IPR000245, 1, None
IPR011555, 2, IPR000245
IPR000257, 1, None
IPR006360, 2, IPR000257
IPR000263, 1, None
IPR000143, 2, IPR000263
IPR000650, 2, IPR000263
IPR001530, 2, IPR000263
IPR000264, 1, None
IPR000213, 2, IPR000264
IPR021177, 2, IPR000264
IPR000266, 1, None
IPR019984, 2, IPR000266
IPR028333, 2, IPR000266
IPR019978, 3, IPR028333
IPR000269, 1, None
IPR032952, 2, IPR000269
IPR000276, 1, None
IPR000018, 2, IPR000276
IPR000025, 2, IPR000276
IPR002278, 3, IPR000025
IPR002279, 3, IPR000025
IPR002280, 3, IPR000025
IPR027459, 3, IPR000025
IPR000142, 2, IPR000276
IPR000204, 2, IPR000276
IPR004059, 3, IPR000204
IPR004060, 3, IPR000204
IPR000248, 2, IPR000276
IPR000147, 3, IPR000248
IPR000190, 3, IPR000248
IPR000355, 2, IPR000276
IPR000174, 3, IPR000355
IPR000057, 4, IPR000174
IPR001355, 4, IPR000174
IPR001053, 3, IPR000355
IPR001277, 3, IPR000355
IPR033037, 4, IPR001277
IPR033039, 4, IPR001277
IPR001718, 3, IPR000355
IPR002235, 3, IPR000355
IPR002236, 3, IPR000355
IPR002237, 3, IPR000355
IPR002238, 3, IPR000355
IPR002239, 3, IPR000355
IPR002240, 3, IPR000355
IPR004067, 3, IPR000355
IPR004068, 3, IPR000355
IPR004069, 3, IPR000355
IPR004070, 3, IPR000355
IPR005382, 3, IPR000355
IPR005383, 3, IPR000355
IPR005387, 3, IPR000355
IPR005393, 3, IPR000355
IPR000356, 2, IPR000276
IPR000371, 2, IPR000276
IPR000405, 2, IPR000276
IPR003906, 3, IPR000405
IPR003907, 3, IPR000405
IPR003908, 3, IPR000405
IPR000496, 2, IPR000276
IPR001186, 3, IPR000496
IPR001504, 3, IPR000496
IPR000499, 2, IPR000276
IPR001112, 3, IPR000499
IPR002175, 3, IPR000499
IPR000503, 2, IPR000276
IPR000586, 2, IPR000276
IPR001116, 3, IPR000586
IPR001184, 3, IPR000586
IPR001512, 3, IPR000586
IPR001856, 3, IPR000586
IPR002074, 3, IPR000586
IPR000611, 2, IPR000276
IPR000351, 3, IPR000611
IPR000393, 3, IPR000611
IPR000986, 3, IPR000611
IPR001358, 3, IPR000611
IPR001933, 3, IPR000611
IPR000670, 2, IPR000276
IPR000723, 2, IPR000276
IPR000599, 3, IPR000723
IPR000984, 3, IPR000723
IPR001151, 3, IPR000723
IPR000725, 2, IPR000276
IPR030778, 3, IPR000725
IPR030779, 3, IPR000725
IPR030781, 3, IPR000725
IPR030782, 3, IPR000725
IPR030785, 3, IPR000725
IPR030787, 3, IPR000725
IPR030788, 3, IPR000725
